Id,degree,group
1715701052,72,6
317156941,72,3
266568867,71,0
958453302,71,0
941999574,70,6
375687402,70,2
3432205816,70,1
141996799,70,0
633009378,70,5
924654570529280001,70,6
1175120371382673408,70,3
1069607398523002882,70,2
698888332953174016,69,4
2720891199,68,6
943596559,68,3
400024956,68,1
339548478,68,1
84567294,67,1
87427851,67,1
1411225417,67,6
2840216009,65,1
712017515136864259,65,2
107136716,65,2
1207980908206313473,65,6
3180377139,65,4
4843284767,64,0
825657906733383681,62,6
993490576002703360,62,2
188289249,62,1
886153894585303040,62,1
186979903,62,6
256025198,61,0
262284145,61,0
1463723012,61,1
1923954720,61,1
2478916268,60,1
306464226,60,6
1032370763767197568,60,1
2653488412,59,3
1065579556508192768,59,6
424449006,59,4
1059106601016180736,59,2
382214993,58,0
1198803955,58,4
1158868650943811584,58,2
792096612080287744,57,6
217100497,57,5
426040196,57,0
701490767,56,0
3385594173,56,5
969872298,56,3
182405110,55,4
367093989,55,1
283143062,55,1
206698353,55,0
248314037,55,1
1217798050661400581,54,6
924654570529280000,54,6
301992412,54,5
4887776950,54,1
397520970,54,0
755651313623597056,54,1
1781445895,54,0
3179861519,54,0
864827592,54,6
4333042306,54,3
372809166,54,0
2817788996,53,6
761924904518320128,53,1
789897513356656640,53,1
3312351815,53,4
801182213891129344,52,1
125397419,52,1
421795603,52,4
592689726,52,1
213040410,52,1
1185277918697656320,51,6
1179768834686889987,51,6
1080883339224117248,51,3
4127273476,51,2
475633120,51,6
721309704471900160,50,2
220817838,50,0
826782324243173376,50,3
1097953645239382016,50,1
2228188124,50,0
1459410144,50,1
404936529,50,6
20281612,50,0
303110419,50,6
283630919,50,0
266797550,49,3
229991416,49,0
556182051,49,3
1047759056570634240,49,2
910732480860360705,49,5
1667411526,49,3
709501533570859009,49,0
1971030559,48,1
1128829723,48,1
751638409,48,0
138123770,48,0
460093827,47,6
927245130712665984,46,3
14902471,46,4
1032829297,46,1
1047888289,45,6
360899300,45,1
881936659,45,1
405392911,45,2
1012996154,45,0
90276737,44,0
2434385654,44,0
388515771,44,6
371455105,44,0
1499289019,44,0
1217798050661400576,43,6
904820547393122305,43,2
1923788726,43,6
193679972,43,3
1613297120,43,0
150969712,43,0
5244621,42,5
2795792214,42,2
253650939,42,0
183782853,42,4
308616565,42,6
763370946,42,1
121203163,41,0
1316605278,40,1
2493549979,40,1
1420439120,40,6
142331814,40,4
717354653827088384,40,0
1197364472,40,0
523756244,39,2
